ID,Body,Team,Accessories,Jersey,Hair,Role,Number,Dunks,Shooting,Playmaking,Defense,Image url,Title,Description,URL,Overall
3689,Stone,Tallahassee Tarantulas,None,Home,Crazy Blue,Player,83,77,65,95,83,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8702.png,BALLER #3689,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3689,
5639,Human I,Wisconsin Dragons,None,Home,Brown Pompadour,Player,99,78,71,87,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8703.png,BALLER #5639,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5639,
4614,Human I,Phoenix Skulls,Armband,Away,Black Pompadour,Player,57,75,70,73,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8704.png,BALLER #4614,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4614,
5822,Human V,Pennsylvania Fangs,Headband,Home,Thinning,Player,45,77,82,93,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8705.png,BALLER #5822,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5822,
3845,Human IV,New Jersey Scientists,Armband,Home,Brown Pompadour,Player,28,99,70,73,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8706.png,BALLER #3845,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3845,
4807,Human I,Alabama Kingpins,Headband,Home,Crazy Blue,Player,86,90,70,80,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8707.png,BALLER #4807,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4807,
7962,Human I,Los Angeles Mammoths,"Headband, Grey Headphones",Home,Flat Top,Player,70,81,71,74,65,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8708.png,BALLER #7962,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7962,
2791,Human V,Los Angeles Mammoths,Armband,Away,Patchy,Player,75,73,73,73,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8709.png,BALLER #2791,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2791,
6040,Human III,Phoenix Skulls,Grey Headphones,Home,Black Short,Player,52,84,83,82,94,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8710.png,BALLER #6040,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6040,
9076,Human III,Boston Rulers,"Headband, Pencil",Away,Brown Cowlick,Player,49,87,78,79,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8711.png,BALLER #9076,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9076,
7482,Human II,Las Vegas Scorpions,None,Home,Brown Cowlick,Player,6,67,82,84,94,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8712.png,BALLER #7482,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7482,
8002,Human IV,Nashville Miracle,"Armband, Headband",Away,Light Brunette Bob,Player,46,67,67,72,68,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8713.png,BALLER #8002,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8002,
7640,Human V,San Francisco Surge,Steampunk Goggles,Home,Brunette Medium,Player,96,83,85,94,71,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8714.png,BALLER #7640,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7640,
4634,Human II,D.C. Dobermans,None,Home,Brown Cowlick,Player,72,80,86,68,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8715.png,BALLER #4634,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4634,
4046,Human III,Houston Rogues,Arm Tattoo,Home,Brunette Wavy Ponytail,Player,83,75,80,72,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8716.png,BALLER #4046,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4046,
3723,Human IV,Alabama Kingpins,None,Home,Blonde Crew,Player,31,70,85,66,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8717.png,BALLER #3723,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3723,
7933,Human V,Toronto Spears,"Armband, Headband",Home,Crazy Purple,Player,71,66,78,79,80,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8718.png,BALLER #7933,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7933,
5230,Human III,New York Torches,"Armband, Headband, Arm Tattoo",Home,Light Brunette Bob,Player,53,78,75,90,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8719.png,BALLER #5230,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5230,
6776,Lizard,Sierra Spiders,"Armband, Headband, Pencil",Home,Shaved,Player,52,65,70,72,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8720.png,BALLER #6776,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6776,
8676,Human V,Pennsylvania Fangs,None,Home,Flat Top,Player,21,91,65,79,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8721.png,BALLER #8676,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8676,
4653,Zombie,Iowa City Rattlesnakes,Arm Tattoo,Home,Crazy Blue,Captain,97,95,83,84,69,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8722.png,BALLER #4653,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4653,
4893,Human I,Alaska Whales,None,Home,Black Moptop,Player,41,83,73,86,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8723.png,BALLER #4893,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4893,
3856,Human III,Sierra Spiders,"Headband, Eye Patch",Home,Shaved,Player,55,74,67,86,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8724.png,BALLER #3856,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3856,
2957,Human III,Boston Rulers,"Headband, Earrings",Home,Light Brown Short,Captain,0,82,72,95,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8725.png,BALLER #2957,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2957,
3881,Human IV,Alabama Kingpins,Armband,Home,Crazy Blue,Player,74,80,87,74,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8726.png,BALLER #3881,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3881,
5825,Zombie,Dallas Pythons,"Armband, Headband, Grey Headphones",Home,Brown Pompadour,Player,75,73,80,84,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8727.png,BALLER #5825,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5825,
2558,Human III,Omaha Bullsnakes,None,Home,Light Brown Short,Player,79,95,67,82,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8728.png,BALLER #2558,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2558,
8567,Human V,D.C. Dobermans,None,Away,Black Moptop,Player,40,95,78,79,92,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8729.png,BALLER #8567,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8567,
7589,Human V,Salt Lake City Souls,None,Home,Brunette Long Ponytail,Player,17,81,92,78,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8730.png,BALLER #7589,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7589,
4125,Human II,Toronto Spears,Silver Chain,Away,Afro,Player,77,84,87,95,64,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8731.png,BALLER #4125,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4125,
2783,Human IV,Minneapolis Express,"Headband, Pencil",Away,Brunette Wavy Ponytail,Player,26,83,75,70,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8732.png,BALLER #2783,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2783,
9304,Pink Alien,New York Golden Bulls,Headband,Home,Afro,Player,4,82,98,72,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8733.png,BALLER #9304,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9304,
6735,Stone,Toronto Spears,None,Home,Purple Cowlick,Player,86,78,69,69,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8734.png,BALLER #6735,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6735,
8711,Human IV,New Jersey Scientists,None,Away,Brown Moptop,Player,41,91,85,74,88,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8735.png,BALLER #8711,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8711,
6978,Human V,Seattle Scream,Armband,Away,Thinning,Player,3,86,67,73,72,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8736.png,BALLER #6978,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6978,
8027,Human I,Omaha Bullsnakes,Armband,Home,Red Crew,Player,56,81,93,93,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8737.png,BALLER #8027,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8027,
8149,Human II,Toronto Spears,Armband,Home,Cheetah,Player,0,88,94,81,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8738.png,BALLER #8149,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8149,
7665,Human II,Phoenix Skulls,"Armband, Headband",Home,Cheetah,Player,54,90,80,76,68,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8739.png,BALLER #7665,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7665,
6471,Human III,Cleveland Firebirds,Nasal Strip,Away,Black Long Ponytail,Player,57,86,86,72,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8740.png,BALLER #6471,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6471,
9380,Human III,St. Louis Orcs,"Armband, Headband, Grey Headphones",Away,Black Moptop,Player,54,89,72,74,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8741.png,BALLER #9380,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9380,
7025,Human II,Michigan Colliders,"Headband, Grey Headphones",Away,Brown Pompadour,Player,60,97,87,80,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8742.png,BALLER #7025,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7025,
6161,Human V,Chicago Squid,"Armband, Headband",Home,Bedhead,Player,8,86,74,67,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8743.png,BALLER #6161,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6161,
9328,Human IV,Nashville Miracle,"Armband, Arm Tattoo",Away,Redhead Ponytail,Player,74,60,74,92,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8744.png,BALLER #9328,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9328,
8425,Human V,Omaha Bullsnakes,Armband,Home,Very Thin,Player,7,83,86,68,69,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8745.png,BALLER #8425,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8425,
5009,Human II,Nashville Miracle,"Armband, Grey Headphones",Home,Black Pigtails,Player,9,80,79,75,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8746.png,BALLER #5009,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5009,
9529,Zombie,New York Torches,"Armband, Earrings",Away,Pink Ponytail,Player,34,78,76,80,71,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8747.png,BALLER #9529,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9529,
3500,Human II,Austin Machines,None,Away,Black Pompadour,Player,74,81,83,60,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8748.png,BALLER #3500,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3500,
6174,Human II,Pennsylvania Fangs,Armband,Home,Blonde Crewcut,Player,65,74,88,84,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8749.png,BALLER #6174,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6174,
7305,Human IV,Toronto Spears,Armband,Away,Blonde Short,Captain,24,67,75,91,68,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8750.png,BALLER #7305,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7305,
7107,Human I,Los Angeles Knives,Steampunk Goggles,Away,Braids,Player,48,86,82,84,69,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8751.png,BALLER #7107,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7107,
5880,Human IV,San Francisco Surge,None,Home,Redhead Ponytail,Player,73,86,61,87,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8752.png,BALLER #5880,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5880,
3954,Human I,Alabama Kingpins,"Armband, Headband",Home,Striped,Player,77,87,87,68,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8753.png,BALLER #3954,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3954,
9190,Human V,Dallas Pythons,None,Home,Crazy Purple,Player,86,76,81,68,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8754.png,BALLER #9190,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9190,
6847,Human I,Michigan Colliders,Armband,Home,Blonde Short,Player,56,80,98,75,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8755.png,BALLER #6847,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6847,
8543,Human I,Delaware Horsemen,None,Home,Flat Top,Player,90,72,67,85,97,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8756.png,BALLER #8543,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8543,
8923,Zombie,Orlando Freeze,None,Away,Black Long Ponytail,Player,93,71,83,95,65,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8757.png,BALLER #8923,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8923,
3994,Human II,Austin Machines,None,Home,Thinning,Player,49,98,79,79,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8758.png,BALLER #3994,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3994,
5706,Human II,Boulder Elks,"Armband, Headband, Silver Chain",Home,Cheetah,Player,70,79,75,78,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8759.png,BALLER #5706,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5706,
3133,Human I,Cleveland Firebirds,"Armband, Headband",Away,Pink Ponytail,Player,67,79,92,87,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8760.png,BALLER #3133,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3133,
8418,Human IV,Michigan Colliders,Nasal Strip,Home,Brown Taper,Player,21,88,69,74,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8761.png,BALLER #8418,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8418,
8530,Human I,New Jersey Scientists,None,Away,Very Thin,Player,59,76,76,74,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8762.png,BALLER #8530,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8530,
7908,Human II,New Jersey Scientists,"Armband, Grey Headphones",Home,Bedhead,Player,83,79,68,76,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8763.png,BALLER #7908,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7908,
2745,Human II,Charlotte Clovers,"Armband, Clock Necklace",Home,Pink Ponytail,Player,63,87,66,83,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8764.png,BALLER #2745,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2745,
5394,Human IV,New York Torches,Armband,Home,Brunette Wavy Ponytail,Player,28,78,78,86,66,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8765.png,BALLER #5394,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5394,
4121,Human III,Chicago Squid,Headband,Home,Blonde Crewcut,Player,98,74,89,67,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8766.png,BALLER #4121,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4121,
7187,Human III,Portland Creatures,Headband,Home,Brown Taper,Player,23,87,76,82,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8767.png,BALLER #7187,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7187,
3465,Human III,Orlando Freeze,None,Away,Black Long Ponytail,Player,30,85,77,73,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8768.png,BALLER #3465,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3465,
4643,Human I,New York Golden Bulls,"Armband, Headband",Home,Black Taper,Player,86,84,86,87,86,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8769.png,BALLER #4643,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4643,
9659,Human I,Boston Rulers,"Armband, Headband",Home,Afro,Player,3,83,78,88,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8770.png,BALLER #9659,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9659,
6617,Human I,Seattle Scream,"Headband, Steampunk Goggles",Home,Blonde Short,Player,66,83,61,80,96,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8771.png,BALLER #6617,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6617,
8764,Bright Zombie,Chicago Squid,"Armband, Headband",Away,Purple Cowlick,Player,15,81,91,91,74,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8772.png,BALLER #8764,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8764,
7821,Lizard,Tampa Bay Omens,"Armband, Silver Chain",Away,Braids,Player,78,76,68,90,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8773.png,BALLER #7821,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7821,
7389,Human IV,D.C. Dobermans,Headband,Away,Blonde Short,Player,69,75,69,85,84,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8774.png,BALLER #7389,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7389,
6720,Human V,San Francisco Surge,None,Away,Pink Ponytail,Player,57,80,77,78,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8775.png,BALLER #6720,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6720,
2862,Human III,Toronto Spears,Armband,Away,Patchy,Player,47,79,78,76,87,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8776.png,BALLER #2862,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2862,
7303,Lizard,Las Vegas Scorpions,None,Home,Blonde Crewcut,Player,56,72,80,75,94,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8777.png,BALLER #7303,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7303,
2836,Human III,Minneapolis Express,Red Headphones,Away,Pink Ponytail,Player,68,68,73,79,90,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8778.png,BALLER #2836,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2836,
2572,Human V,Tampa Bay Omens,Armband,Home,Redhead Bun,Player,17,77,78,87,85,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8779.png,BALLER #2572,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2572,
7740,Human II,New York Golden Bulls,None,Home,Red Crew,Player,78,74,76,95,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8780.png,BALLER #7740,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7740,
5792,Human I,Charlotte Clovers,Arm Tattoo,Away,Brunette Ponytail,Player,42,99,74,92,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8781.png,BALLER #5792,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//5792,
3431,Human IV,Dallas Pythons,"Armband, Headband",Away,Brown Moptop,Player,87,84,69,77,78,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8782.png,BALLER #3431,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3431,
9119,Human V,Portland Creatures,None,Away,Black Taper,Player,16,65,83,94,76,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8783.png,BALLER #9119,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9119,
4525,Human IV,Boulder Elks,None,Home,Black Short,Player,69,78,75,77,84,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8784.png,BALLER #4525,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4525,
9174,Stone,St. Louis Orcs,"Armband, Headband",Away,Crazy Orange,Player,5,72,75,89,75,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8785.png,BALLER #9174,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9174,
3733,Human II,Alabama Kingpins,"Headband, Space Visor",Away,Striped,Player,54,73,66,85,79,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8786.png,BALLER #3733,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//3733,
8706,Lizard,Phoenix Skulls,"Headband, Grey Headphones",Away,Red Crew,Player,87,78,98,69,77,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8787.png,BALLER #8706,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8706,
4025,Human V,Seattle Scream,Armband,Away,Black Pompadour,Player,39,99,93,86,93,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8788.png,BALLER #4025,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//4025,
2943,Human V,Tallahassee Tarantulas,Headband,Home,Black Moptop,Player,46,87,77,87,94,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8789.png,BALLER #2943,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//2943,
6229,Human V,Portland Creatures,None,Away,Brown Cowlick,Player,42,86,87,73,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8790.png,BALLER #6229,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6229,
8988,Human V,Pennsylvania Fangs,None,Home,Crazy Orange,Player,34,84,67,79,73,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8791.png,BALLER #8988,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//8988,
7722,Human II,Toronto Spears,Headband,Home,Patchy,Player,34,78,77,81,82,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8792.png,BALLER #7722,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//7722,
6399,Human II,Salt Lake City Souls,Silver Chain,Away,Brunette Medium,Player,94,67,76,87,81,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8793.png,BALLER #6399,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6399,
6129,Human IV,Houston Rogues,Headband,Home,Pink Pigtails,Player,24,72,80,67,70,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8794.png,BALLER #6129,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//6129,
9161,Human V,Wisconsin Dragons,Nasal Strip,Away,Blonde Crew,Player,98,89,85,81,71,ipfs://QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8795.png,BALLER #9161,A basketball-inspired generative NFT living on the Flow blockchain,/collection/ballerz//9161,
